Date,MSCI EAFE Price in USD,MSCI EAFE - EPS - NTM
03/07/2015,1848.42,122.709
10/07/2015,1851.94,122.709
17/07/2015,1889.53,122.709
24/07/2015,1861.03,122.709
31/07/2015,1879.75,121.53
07/08/2015,1868.64,121.53
14/08/2015,1840.94,121.53
21/08/2015,1756.65,121.53
28/08/2015,1747.84,121.53
04/09/2015,1671.12,122.431
11/09/2015,1704.82,122.431
18/09/2015,1713.96,122.431
25/09/2015,1660.74,122.431
02/10/2015,1668.87,121.366
09/10/2015,1758.17,121.366
16/10/2015,1763.18,121.366
23/10/2015,1777.37,121.366
30/10/2015,1771.66,119.904
06/11/2015,1743.48,119.904
13/11/2015,1712.18,119.904
20/11/2015,1754.65,119.904
27/11/2015,1746.06,119.904
04/12/2015,1731.7,116.188
11/12/2015,1690.15,116.188
18/12/2015,1687.21,116.188
25/12/2015,1719.66,116.188
01/01/2016,1716.28,116.714
08/01/2016,1610.75,116.714
15/01/2016,1565.24,116.714
22/01/2016,1568.31,116.714
29/01/2016,1591.46,115.402
05/02/2016,1566.75,115.402
12/02/2016,1492.43,115.402
19/02/2016,1557.03,115.402
26/02/2016,1558.08,115.402
04/03/2016,1628.83,115.076
11/03/2016,1644.94,115.076
18/03/2016,1660.5,115.076
25/03/2016,1623.43,115.076
01/04/2016,1616.23,116.265
08/04/2016,1625.36,116.265
15/04/2016,1682.11,116.265
22/04/2016,1703.27,116.265
29/04/2016,1693.18,117.988
06/05/2016,1639.22,117.988
13/05/2016,1631.71,117.988
20/05/2016,1634.29,117.988
27/05/2016,1668.76,117.988
03/06/2016,1670.89,113.946
10/06/2016,1640.92,113.946
17/06/2016,1595.33,113.946
24/06/2016,1567.26,113.946
01/07/2016,1620.63,115.391
08/07/2016,1592.1,115.391
15/07/2016,1650.14,115.391
22/07/2016,1650.2,115.391
29/07/2016,1689.12,115.351
05/08/2016,1665.32,115.351
12/08/2016,1710.73,115.351
19/08/2016,1699.76,115.351
26/08/2016,1702.43,115.351
02/09/2016,1709.97,114.837
09/09/2016,1707.27,114.837
16/09/2016,1664.77,114.837
23/09/2016,1716.74,114.837
30/09/2016,1701.69,117.021
07/10/2016,1688.4,117.021
14/10/2016,1664.72,117.021
21/10/2016,1672.45,117.021
28/10/2016,1665.62,117.021
04/11/2016,1639.26,115.323
11/11/2016,1640.05,115.323
18/11/2016,1614.17,115.323
25/11/2016,1634.44,115.323
02/12/2016,1630.61,112.792
09/12/2016,1677.89,112.792
16/12/2016,1668.6,112.792
23/12/2016,1674.56,112.792
30/12/2016,1684,113.707
06/01/2017,1713.87,113.707
13/01/2017,1727.83,113.707
20/01/2017,1719.58,113.707
27/01/2017,1741.72,113.707
03/02/2017,1741.84,118.155
10/02/2017,1741.28,118.155
17/02/2017,1754.94,118.155
24/02/2017,1750.52,118.155
03/03/2017,1757.25,118.837
10/03/2017,1763.9,118.837
17/03/2017,1798.96,118.837
24/03/2017,1797.68,118.837
31/03/2017,1792.98,120.854
07/04/2017,1780.11,120.854
14/04/2017,1777.63,120.854
21/04/2017,1780.77,120.854
28/04/2017,1833.7,123.162
05/05/2017,1864.91,123.162
12/05/2017,1867.96,123.162
19/05/2017,1882.75,123.162
26/05/2017,1885.37,123.162
02/06/2017,1916.37,126.249
09/06/2017,1892.97,126.249
16/06/2017,1892.93,126.249
23/06/2017,1889.23,126.249
30/06/2017,1883.19,128.231
07/07/2017,1874.1,128.231
14/07/2017,1918.74,128.231
21/07/2017,1927.65,128.231
28/07/2017,1931.73,128.231
04/08/2017,1947.62,130.815
11/08/2017,1916.65,130.815
18/08/2017,1916.68,130.815
25/08/2017,1927.8,130.815
01/09/2017,1938.37,132.963
08/09/2017,1953.56,132.963
15/09/2017,1964.3,132.963
22/09/2017,1977.61,132.963
29/09/2017,1973.81,132.838
06/10/2017,1972.37,132.838
13/10/2017,2004.05,132.838
20/10/2017,1997.73,132.838
27/10/2017,1990.66,132.838
03/11/2017,2008.53,132.324
10/11/2017,1999.57,132.324
17/11/2017,1986.15,132.324
24/11/2017,2022.86,132.324
01/12/2017,2003.72,135.452
08/12/2017,2005.31,135.452
15/12/2017,2007.97,135.452
22/12/2017,2032.7,135.452
29/12/2017,2050.79,137.394
05/01/2018,2100.91,137.394
12/01/2018,2126.1,137.394
19/01/2018,2152.4,137.394
26/01/2018,2184.49,137.394
02/02/2018,2123.82,143.586
09/02/2018,1992.31,143.586
16/02/2018,2075.67,143.586
23/02/2018,2065.21,143.586
02/03/2018,2005.08,143.51
09/03/2018,2040.9,143.51
16/03/2018,2043.58,143.51
23/03/2018,1989.61,143.51
30/03/2018,2005.67,145.371
06/04/2018,2013.31,145.371
13/04/2018,2042.41,145.371
20/04/2018,2050.72,145.371
27/04/2018,2042.83,145.371
04/05/2018,2031.2,145.061
11/05/2018,2059.94,145.061
18/05/2018,2047.36,145.061
25/05/2018,2014.52,145.061
01/06/2018,1992.4,143.467
08/06/2018,2010.49,143.467
15/06/2018,2000.09,143.467
22/06/2018,1980.44,143.467
29/06/2018,1958.64,143.567
06/07/2018,1969.61,143.567
13/07/2018,1972.68,143.567
20/07/2018,1985.19,143.567
27/07/2018,2011.48,143.567
03/08/2018,1981.84,144.586
10/08/2018,1950.8,144.586
17/08/2018,1927.78,144.586
24/08/2018,1957.03,144.586
31/08/2018,1962.05,145.394
07/09/2018,1905.44,145.394
14/09/2018,1939.02,145.394
21/09/2018,1994.96,145.394
28/09/2018,1973.6,145.405
05/10/2018,1927.14,145.405
12/10/2018,1850.75,145.405
19/10/2018,1849.37,145.405
26/10/2018,1777.76,145.405
02/11/2018,1837.05,144.641
09/11/2018,1840.67,144.641
16/11/2018,1812.84,144.641
23/11/2018,1792.51,144.641
30/11/2018,1809.56,144.67
07/12/2018,1768.48,144.67
14/12/2018,1752.74,144.67
21/12/2018,1706.01,144.67
28/12/2018,1712.32,144.67
04/01/2019,1736.69,144.803
11/01/2019,1786.13,144.803
18/01/2019,1805.1,144.803
25/01/2019,1813.63,144.803
01/02/2019,1830.04,145.21
08/02/2019,1804.73,145.21
15/02/2019,1840.1,145.21
22/02/2019,1869.15,145.21
01/03/2019,1878.53,142.851
08/03/2019,1839.23,142.851
15/03/2019,1890.31,142.851
22/03/2019,1882.97,142.851
29/03/2019,1875.43,141.384
05/04/2019,1911.4,141.384
12/04/2019,1915.67,141.384
19/04/2019,1920.81,141.384
26/04/2019,1915.65,141.384
03/05/2019,1918.81,141.389
10/05/2019,1865.1,141.389
17/05/2019,1865.83,141.389
24/05/2019,1853.26,141.389
31/05/2019,1817.39,141.245
07/06/2019,1875.62,141.245
14/06/2019,1870.17,141.245
21/06/2019,1911.18,141.245
28/06/2019,1922.3,142.527
05/07/2019,1932.13,142.527
12/07/2019,1921.45,142.527
19/07/2019,1918.88,142.527
26/07/2019,1914.68,142.527
02/08/2019,1863.85,140.162
09/08/2019,1840.48,140.162
16/08/2019,1811.86,140.162
23/08/2019,1826.73,140.162
30/08/2019,1842.58,139.471
06/09/2019,1882.43,139.471
13/09/2019,1919.61,139.471
20/09/2019,1912.66,139.471
27/09/2019,1895.72,139.471
04/10/2019,1854.43,138.097
11/10/2019,1896.65,138.097
18/10/2019,1920.09,138.097
25/10/2019,1944.22,138.097
01/11/2019,1966.7,139.448
08/11/2019,1976.65,139.448
15/11/2019,1976.69,139.448
22/11/2019,1964.84,139.448
29/11/2019,1974.47,137.264
06/12/2019,1981.63,137.264
13/12/2019,2015.62,137.264
20/12/2019,2028.25,137.264
27/12/2019,2042.9,137.264
03/01/2020,2042.460966,139.043
10/01/2020,2040.490872,139.043
17/01/2020,2057.736442,139.043
24/01/2020,2044.920936,139.043
31/01/2020,1993.715328,138.359
07/02/2020,2030.289743,138.359
14/02/2020,2028.924498,138.359
21/02/2020,2002.860043,138.359
28/02/2020,1809.713885,136.618
06/03/2020,1813.634111,136.618
13/03/2020,1480.262421,136.618
20/03/2020,1393.921879,136.618
27/03/2020,1549.490669,136.618
03/04/2020,1487.08,130.372
10/04/2020,1610.25,130.372
17/04/2020,1622.3,130.372
24/04/2020,1588.69,130.372
01/05/2020,1635.82,116.161
08/05/2020,1648.44,116.161
15/05/2020,1594.72,116.161
22/05/2020,1641.59,116.161
29/05/2020,1725.09,108.557
05/06/2020,1846.51,108.557
12/06/2020,1768.14,108.557
19/06/2020,1803.74,108.557
26/06/2020,1779.71,108.557
03/07/2020,1804.35,104.287
10/07/2020,1812.78,104.287
17/07/2020,1852.43,104.287
24/07/2020,1859.81,104.287
31/07/2020,1820.21,107.689
07/08/2020,1855.11,107.689
14/08/2020,1899.51,107.689
21/08/2020,1879.9,107.689
28/08/2020,1910.82,107.689
04/09/2020,1870.29,108.79
11/09/2020,1896.99,108.79
18/09/2020,1911.81,108.79
25/09/2020,1830.99,108.79
02/10/2020,1855.1,109.359
09/10/2020,1910.2,109.359
16/10/2020,1882.36,109.359
23/10/2020,1884.26,109.359
30/10/2020,1780.08,111.662
06/11/2020,1924.19,111.662
13/11/2020,1998.05,111.662
20/11/2020,2035.27,111.662
27/11/2020,2080.15,111.662
04/12/2020,2101.12,117.007
11/12/2020,2090.16,117.007
18/12/2020,2131.59,117.007
25/12/2020,2118.63,117.007
31/12/2020,2147.53,122.748
08/01/2021,2215.12,122.748
15/01/2021,2184.94,122.748
22/01/2021,2199.96,122.748
29/01/2021,2124.05,124.984
05/02/2021,2182.17,124.984
12/02/2021,2227.7,124.984
19/02/2021,2232.56,124.984
26/02/2021,2168.87,128.594
05/03/2021,2155.51,128.594
12/03/2021,2219.3,128.594
19/03/2021,2231.43,128.594
26/03/2021,2217.82,128.594
02/04/2021,2223.56,129.119
09/04/2021,2262.48,129.119
16/04/2021,2299.28,129.119
23/04/2021,2287.85,129.119
30/04/2021,2268.51,134.146
07/05/2021,2324.42,134.146
14/05/2021,2292.17,134.146
21/05/2021,2314.63,134.146
28/05/2021,2341.39,134.146
04/06/2021,2357.79,141.559
11/06/2021,2365.55,141.559
18/06/2021,2308.52,141.559
25/06/2021,2342.43,141.559
02/07/2021,2315.5,141.72
09/07/2021,2313.37,141.72
16/07/2021,2302.81,141.72
23/07/2021,2307.08,141.72
30/07/2021,2321.09,146.75
06/08/2021,2344.82,146.75
13/08/2021,2379,146.75
20/08/2021,2307.19,146.75
27/08/2021,2349.46,146.75
03/09/2021,2389.45,150.2
10/09/2021,2381.44,150.2
17/09/2021,2348.46,150.2
24/09/2021,2341.69,150.2
01/10/2021,2263.9,149.43
08/10/2021,2269.79,149.43
15/10/2021,2324.5,149.43
22/10/2021,2338.59,149.43
29/10/2021,2335.53,151.73
05/11/2021,2373.27,151.73
12/11/2021,2364.2,151.73
19/11/2021,2344.93,151.73
26/11/2021,2256.95,151.6
03/12/2021,2235.12,151.6
10/12/2021,2289.62,151.6
17/12/2021,2278.88,151.6
24/12/2021,2316.1,151.6
31/12/2021,2336.07,153.35
07/01/2022,2328.99,153.35
14/01/2022,2333,153.35
21/01/2022,2284.35,153.35
28/01/2022,2201.56,154.85
04/02/2022,2247.73,154.85
11/02/2022,2279.33,154.85
18/02/2022,2235.92,154.85
25/02/2022,2177.75,157.79
04/03/2022,2035.47,157.79
11/03/2022,2043.94,157.79
18/03/2022,2156.76,157.79
25/03/2022,2159.53,157.79
01/04/2022,2171.14,159.21
08/04/2022,2139.56,159.21
15/04/2022,2115.99,159.21
22/04/2022,2081.96,159.21
29/04/2022,2033.7,154.86
06/05/2022,1972.82,154.86
13/05/2022,1942.38,154.86
20/05/2022,1969.24,154.86
27/05/2022,2035.83,158.94
03/06/2022,2029.06,158.94
10/06/2022,1934.2,158.94
17/06/2022,1823.08,158.94
24/06/2022,1874.19,158.94
01/07/2022,1832.34,156.69
08/07/2022,1849.48,156.69
15/07/2022,1817.05,156.69
22/07/2022,1897.38,156.69
29/07/2022,1937.26,156.82
