Date,S&P 500 Top 10 Weights
03/01/1997,18.77
10/01/1997,18.88
17/01/1997,18.87
24/01/1997,18.92
31/01/1997,19.22
07/02/1997,19.23
14/02/1997,19.1
21/02/1997,19.07
28/02/1997,19
07/03/1997,18.87
14/03/1997,18.83
21/03/1997,18.66
28/03/1997,18.93
04/04/1997,19.08
11/04/1997,18.98
18/04/1997,19.76
25/04/1997,19.85
02/05/1997,19.81
09/05/1997,19.88
16/05/1997,19.9
23/05/1997,20.21
30/05/1997,19.88
06/06/1997,19.69
13/06/1997,19.85
20/06/1997,19.8
27/06/1997,19.65
04/07/1997,19.7
11/07/1997,19.58
18/07/1997,20.02
25/07/1997,19.92
01/08/1997,19.66
08/08/1997,19.44
15/08/1997,19.01
22/08/1997,19.24
29/08/1997,19.02
05/09/1997,19.11
12/09/1997,18.92
19/09/1997,18.88
26/09/1997,18.87
03/10/1997,18.8
10/10/1997,18.7
17/10/1997,18.34
24/10/1997,17.98
31/10/1997,18.19
07/11/1997,18.22
14/11/1997,18.49
21/11/1997,18.67
28/11/1997,18.71
05/12/1997,18.74
12/12/1997,18.72
19/12/1997,18.64
26/12/1997,18.56
02/01/1998,18.55
09/01/1998,18.78
16/01/1998,18.69
23/01/1998,18.75
30/01/1998,18.76
06/02/1998,18.72
13/02/1998,18.6
20/02/1998,18.72
27/02/1998,18.73
06/03/1998,18.43
13/03/1998,18.21
20/03/1998,18.3
27/03/1998,18.58
03/04/1998,18.8
10/04/1998,18.5
17/04/1998,18.57
24/04/1998,18.82
01/05/1998,18.64
08/05/1998,18.64
15/05/1998,18.69
22/05/1998,18.52
29/05/1998,18.61
05/06/1998,18.68
12/06/1998,18.87
19/06/1998,19.15
26/06/1998,19.52
03/07/1998,19.29
10/07/1998,19.62
17/07/1998,19.68
24/07/1998,19.68
31/07/1998,19.69
07/08/1998,19.89
14/08/1998,20.05
21/08/1998,20.3
28/08/1998,20.37
04/09/1998,19.91
11/09/1998,20.26
18/09/1998,19.95
25/09/1998,20.05
02/10/1998,19.9
09/10/1998,20.05
16/10/1998,20.11
23/10/1998,20.13
30/10/1998,19.82
06/11/1998,19.85
13/11/1998,20.15
20/11/1998,20.27
27/11/1998,20.48
04/12/1998,20.38
11/12/1998,20.56
18/12/1998,20.89
25/12/1998,21.03
01/01/1999,20.74
08/01/1999,20.7
15/01/1999,20.79
22/01/1999,20.99
29/01/1999,21.41
05/02/1999,20.98
12/02/1999,21.01
19/02/1999,20.79
26/02/1999,20.76
05/03/1999,20.71
12/03/1999,21.27
19/03/1999,21.48
26/03/1999,21.43
02/04/1999,21.62
09/04/1999,21.74
16/04/1999,20.89
23/04/1999,20.84
30/04/1999,20.55
07/05/1999,20.61
14/05/1999,20.51
21/05/1999,20.5
28/05/1999,20.56
04/06/1999,20.46
11/06/1999,20.38
18/06/1999,20.71
25/06/1999,21.23
02/07/1999,21.83
09/07/1999,22
16/07/1999,22.09
23/07/1999,21.65
30/07/1999,21.61
06/08/1999,21.88
13/08/1999,21.89
20/08/1999,21.93
27/08/1999,22.54
03/09/1999,22.89
10/09/1999,23.06
17/09/1999,23.29
24/09/1999,23.23
01/10/1999,22.92
08/10/1999,23
15/10/1999,23.21
22/10/1999,23.04
29/10/1999,22.99
05/11/1999,22.92
12/11/1999,22.8
19/11/1999,22.86
26/11/1999,23.21
03/12/1999,24.25
10/12/1999,24.73
17/12/1999,25.83
24/12/1999,25.69
31/12/1999,25.22
07/01/2000,25.01
14/01/2000,25.31
21/01/2000,25.08
28/01/2000,25.04
04/02/2000,25.34
11/02/2000,25.4
18/02/2000,25.14
25/02/2000,25.74
03/03/2000,26.32
10/03/2000,26.39
17/03/2000,26.05
24/03/2000,27.04
31/03/2000,26.6
07/04/2000,26.05
14/04/2000,24.82
21/04/2000,25.29
28/04/2000,25.23
05/05/2000,25.08
12/05/2000,24.6
19/05/2000,24.31
26/05/2000,24.29
02/06/2000,24.86
09/06/2000,24.71
16/06/2000,25.07
23/06/2000,26.14
30/06/2000,26.51
07/07/2000,26.14
14/07/2000,26.01
21/07/2000,26.3
28/07/2000,25.84
04/08/2000,25.57
11/08/2000,25.65
18/08/2000,25.72
25/08/2000,26.07
01/09/2000,26.09
08/09/2000,25.49
15/09/2000,24.99
22/09/2000,24.68
29/09/2000,24.21
06/10/2000,24.25
13/10/2000,24.4
20/10/2000,24.53
27/10/2000,24.46
03/11/2000,24.42
10/11/2000,24.55
17/11/2000,24.85
24/11/2000,25.01
01/12/2000,24.53
08/12/2000,24.54
15/12/2000,23.98
22/12/2000,23.77
29/12/2000,23.18
05/01/2001,23.17
12/01/2001,22.7
19/01/2001,23.23
26/01/2001,23.4
02/02/2001,23.15
09/02/2001,22.89
16/02/2001,23.25
23/02/2001,23.11
02/03/2001,22.87
09/03/2001,22.9
16/03/2001,22.9
23/03/2001,22.88
30/03/2001,23.21
06/04/2001,23.65
13/04/2001,23.68
20/04/2001,24.15
27/04/2001,24.37
04/05/2001,24.44
11/05/2001,24.35
18/05/2001,24.18
25/05/2001,24.06
01/06/2001,24.22
08/06/2001,24.28
15/06/2001,24.64
22/06/2001,25.12
29/06/2001,24.88
06/07/2001,24.58
13/07/2001,24.48
20/07/2001,24.43
27/07/2001,23.99
03/08/2001,23.98
10/08/2001,24
17/08/2001,23.57
24/08/2001,23.52
31/08/2001,23.51
07/09/2001,23.75
14/09/2001,23.78
21/09/2001,23.71
28/09/2001,24.23
05/10/2001,24.5
12/10/2001,24.55
19/10/2001,24.9
26/10/2001,25.13
02/11/2001,25.11
09/11/2001,25.14
16/11/2001,24.92
23/11/2001,24.9
30/11/2001,24.69
07/12/2001,24.47
14/12/2001,24.74
21/12/2001,25.18
28/12/2001,24.96
04/01/2002,24.9
11/01/2002,24.79
18/01/2002,25.03
25/01/2002,24.79
01/02/2002,24.63
08/02/2002,24.75
15/02/2002,24.53
22/02/2002,24.55
01/03/2002,24.69
08/03/2002,24.64
15/03/2002,24.62
22/03/2002,24.38
29/03/2002,24.25
05/04/2002,24.06
12/04/2002,23.64
19/04/2002,23.43
26/04/2002,23.1
03/05/2002,23.05
10/05/2002,22.99
17/05/2002,23.38
24/05/2002,23.03
31/05/2002,22.74
07/06/2002,22.84
14/06/2002,23.44
21/06/2002,23.2
28/06/2002,23.35
05/07/2002,23.63
12/07/2002,23.65
19/07/2002,23.54
26/07/2002,23.54
02/08/2002,23.52
09/08/2002,24.04
16/08/2002,24.07
23/08/2002,23.96
30/08/2002,23.68
06/09/2002,23.32
13/09/2002,23.15
20/09/2002,23.66
27/09/2002,23.66
04/10/2002,24.33
11/10/2002,24.51
18/10/2002,24.75
25/10/2002,24.21
01/11/2002,24.13
08/11/2002,24.51
15/11/2002,24.24
