Date,Starting Yield,5 Yr. Return
27/02/1976,7.98,3.85
31/03/1976,7.88,4.09
30/04/1976,7.87,3.23
31/05/1976,8.25,4.15
30/06/1976,8.1,3.81
30/07/1976,7.98,3.16
31/08/1976,7.79,2.36
30/09/1976,7.66,2.07
29/10/1976,7.52,3.01
30/11/1976,7.14,4.21
31/12/1976,6.99,3.05
31/01/1977,7.5,3.58
28/02/1977,7.51,3.9
31/03/1977,7.49,4.01
29/04/1977,7.44,4.4
31/05/1977,7.49,4.59
30/06/1977,7.37,3.97
29/07/1977,7.56,4.86
31/08/1977,7.55,5.78
30/09/1977,7.69,6.62
31/10/1977,7.94,7.84
30/11/1977,7.86,7.86
30/12/1977,8.04,8.38
31/01/1978,8.21,8.47
28/02/1978,8.28,9
31/03/1978,8.36,8.99
28/04/1978,8.47,9.56
31/05/1978,8.69,9.37
30/06/1978,8.89,9.4
31/07/1978,8.85,8.63
31/08/1978,8.74,8.44
29/09/1978,8.89,9.16
31/10/1978,9.39,9.54
30/11/1978,9.42,9.58
29/12/1978,9.8,9.83
31/01/1979,9.52,9.88
28/02/1979,9.72,9.86
30/03/1979,9.64,9.38
30/04/1979,9.79,9.38
31/05/1979,9.56,8.28
29/06/1979,9.24,8.09
31/07/1979,9.45,9.04
31/08/1979,9.73,9.46
28/09/1979,10.08,10.21
31/10/1979,11.71,12.53
30/11/1979,11.09,12.28
31/12/1979,11.19,12.55
31/01/1980,11.93,13.76
29/02/1980,13.82,14.68
31/03/1980,14.1,15.12
30/04/1980,11.35,13.14
30/05/1980,10.34,13.25
30/06/1980,10.18,13.06
31/07/1980,10.74,13.46
29/08/1980,11.95,14.71
30/09/1980,12.43,15.09
31/10/1980,13.13,15.84
28/11/1980,13.53,16.43
31/12/1980,13.03,16.51
30/01/1981,13.28,16.63
27/02/1981,13.92,17.98
31/03/1981,13.64,18.15
30/04/1981,14.74,19.14
29/05/1981,14.31,17.84
30/06/1981,14.53,18.51
31/07/1981,15.45,19.18
31/08/1981,16.3,20.28
30/09/1981,16.5,20.06
30/10/1981,15.23,19.04
30/11/1981,13.32,17.43
31/12/1981,14.64,18.42
29/01/1982,14.83,18.6
26/02/1982,14.64,18.31
31/03/1982,14.7,17.9
30/04/1982,14.33,16.6
31/05/1982,14.13,16.14
30/06/1982,14.94,16.83
30/07/1982,14.04,15.83
31/08/1982,12.96,14.48
30/09/1982,12.29,13.09
29/10/1982,11.27,12.71
30/11/1982,11.23,12.67
31/12/1982,10.95,12.53
31/01/1983,11.05,13.27
28/02/1983,10.64,12.9
31/03/1983,10.88,12.63
29/04/1983,10.46,11.89
31/05/1983,10.96,12.03
30/06/1983,11.22,12.54
29/07/1983,11.97,12.97
31/08/1983,12.05,12.87
30/09/1983,11.48,12.64
31/10/1983,11.63,12.98
30/11/1983,11.61,12.45
30/12/1983,11.79,12.43
31/01/1984,11.54,12.29
29/02/1984,11.88,12.25
30/03/1984,12.4,12.6
30/04/1984,12.69,13.11
31/05/1984,13.78,14.42
29/06/1984,13.77,14.82
31/07/1984,13.1,14.29
31/08/1984,12.98,13.57
28/09/1984,12.65,13.15
31/10/1984,11.86,12.76
30/11/1984,11.55,12.58
31/12/1984,11.37,12.31
31/01/1985,11.1,11.54
28/02/1985,11.77,12.07
29/03/1985,11.53,11.64
30/04/1985,11.22,10.98
31/05/1985,10.28,10.5
28/06/1985,10.19,10.62
31/07/1985,10.48,11
30/08/1985,10.28,10.29
30/09/1985,10.33,10.34
31/10/1985,10.08,10.16
29/11/1985,9.74,10.1
31/12/1985,9.31,9.78
31/01/1986,9.34,9.93
28/02/1986,8.82,9.27
31/03/1986,8.32,8.75
30/04/1986,8.27,8.87
30/05/1986,8.69,9.42
30/06/1986,8.31,8.84
31/07/1986,8.07,8.95
29/08/1986,7.63,8.88
30/09/1986,7.93,9.54
31/10/1986,7.76,9.47
28/11/1986,7.67,9.36
31/12/1986,7.75,9.92
30/01/1987,7.62,9.31
27/02/1987,7.64,9.31
31/03/1987,7.83,9.28
30/04/1987,8.55,10.05
29/05/1987,8.78,10.55
30/06/1987,8.64,10.55
31/07/1987,8.77,11.01
31/08/1987,9.19,11.36
30/09/1987,9.76,12.1
30/10/1987,9.16,11.02
30/11/1987,9.16,10.85
31/12/1987,9.08,10.9
29/01/1988,8.53,10.55
29/02/1988,8.44,10.68
31/03/1988,8.76,10.98
29/04/1988,8.98,11.25
31/05/1988,9.32,11.43
30/06/1988,9.01,11.3
29/07/1988,9.28,11.54
31/08/1988,9.52,11.87
30/09/1988,9.22,11.43
31/10/1988,9.01,11.1
30/11/1988,9.48,11.18
30/12/1988,9.68,11.28
31/01/1989,9.54,11.26
28/02/1989,9.87,11.03
31/03/1989,10,10.38
28/04/1989,9.67,9.75
31/05/1989,9.28,9.18
30/06/1989,8.77,8.48
31/07/1989,8.41,8.45
31/08/1989,8.96,8.8
29/09/1989,9,8.37
31/10/1989,8.64,7.82
30/11/1989,8.52,7.57
29/12/1989,8.62,7.66
31/01/1990,9.06,8.34
28/02/1990,9.08,8.78
30/03/1990,9.25,8.9
30/04/1990,9.58,9.4
31/05/1990,9.13,9.6
29/06/1990,8.96,9.41
31/07/1990,8.77,9.06
31/08/1990,9.15,9.61
28/09/1990,9.13,9.65
31/10/1990,8.99,9.65
30/11/1990,8.73,9.51
31/12/1990,8.52,9.48
31/01/1991,8.39,9.35
28/02/1991,8.33,8.79
29/03/1991,8.34,8.49
30/04/1991,8.22,8.13
31/05/1991,8.24,7.96
28/06/1991,8.4,8.26
31/07/1991,8.25,8.02
30/08/1991,7.91,7.52
30/09/1991,7.6,7.46
31/10/1991,7.43,7.7
29/11/1991,7.32,7.87
31/12/1991,6.7,7.04
31/01/1992,7.18,7.4
28/02/1992,7.2,7.31
31/03/1992,7.48,7.19
30/04/1992,7.39,7.36
29/05/1992,7.11,7.16
30/06/1992,6.87,7.12
31/07/1992,6.54,7.26
31/08/1992,6.37,6.86
30/09/1992,6.19,6.92
30/10/1992,6.69,7.51
30/11/1992,6.87,7.61
31/12/1992,6.64,7.48
29/01/1993,6.3,7.35
26/02/1993,6,6.96
31/03/1993,6,6.94
30/04/1993,5.93,6.91
31/05/1993,6.09,7.08
30/06/1993,5.78,6.88
30/07/1993,5.8,6.8
31/08/1993,5.52,6.78
30/09/1993,5.56,7.21
29/10/1993,5.59,7.02
30/11/1993,5.86,7.32
31/12/1993,5.82,7.27
31/01/1994,5.62,7.14
28/02/1994,6.1,7.14
31/03/1994,6.76,7.79
29/04/1994,7.11,8.03
31/05/1994,7.25,7.85
30/06/1994,7.41,7.83
29/07/1994,7.15,7.31
31/08/1994,7.25,7.27
30/09/1994,7.68,7.84
31/10/1994,7.82,7.94
30/11/1994,8.14,7.99
30/12/1994,8.21,7.73
31/01/1995,7.9,7.24
28/02/1995,7.5,6.99
31/03/1995,7.51,7.14
28/04/1995,7.34,6.79
31/05/1995,6.65,5.97
30/06/1995,6.61,6.25
31/07/1995,6.76,6.49
31/08/1995,6.65,6.54
29/09/1995,6.59,6.47
31/10/1995,6.42,6.33
30/11/1995,6.2,6.36
29/12/1995,6.01,6.46
31/01/1996,5.91,6.66
29/02/1996,6.41,7.22
29/03/1996,6.7,7.48
30/04/1996,6.93,7.51
31/05/1996,7.1,7.68
28/06/1996,6.95,7.48
31/07/1996,7.03,7.9
30/08/1996,7.18,8.18
30/09/1996,6.94,8.06
31/10/1996,6.6,8.03
29/11/1996,6.38,7.36
31/12/1996,6.69,7.43
31/01/1997,6.73,7.54
28/02/1997,6.82,7.69
31/03/1997,7.17,7.57
30/04/1997,6.99,7.66
30/05/1997,6.92,7.64
30/06/1997,6.79,7.57
31/07/1997,6.38,7.26
29/08/1997,6.67,7.8
30/09/1997,6.48,7.83
31/10/1997,6.3,7.43
28/11/1997,6.36,7.32
31/12/1997,6.24,7.55
30/01/1998,6.03,7.29
27/02/1998,6.18,7.6
31/03/1998,6.22,7.51
30/04/1998,6.21,7.58
29/05/1998,6.14,7.77
30/06/1998,6.08,7.55
31/07/1998,6.13,6.77
31/08/1998,5.85,6.56
30/09/1998,5.37,6.63
30/10/1998,5.59,6.54
30/11/1998,5.65,6.47
31/12/1998,5.65,6.62
29/01/1999,5.6,6.64
26/02/1999,6.09,7.25
31/03/1999,6.04,7.29
30/04/1999,6.09,6.66
31/05/1999,6.4,6.76
30/06/1999,6.55,6.95
30/07/1999,6.75,7.25
31/08/1999,6.88,7.67
30/09/1999,6.75,7.48
29/10/1999,6.81,7.58
30/11/1999,6.94,7.41
31/12/1999,7.16,7.71
31/01/2000,7.41,7.92
29/02/2000,7.31,7.53
31/03/2000,7.21,7.14
28/04/2000,7.4,7.49
31/05/2000,7.52,7.73
30/06/2000,7.24,7.4
31/07/2000,7.19,7.01
31/08/2000,7.02,6.98
29/09/2000,6.96,6.62
31/10/2000,6.96,6.31
30/11/2000,6.74,6.06
29/12/2000,6.43,5.87
31/01/2001,6.12,5.53
28/02/2001,6.03,5.42
30/03/2001,5.98,5.11
30/04/2001,6.14,5.16
31/05/2001,6.11,5.01
29/06/2001,6.15,4.97
31/07/2001,5.77,4.79
31/08/2001,5.64,4.87
28/09/2001,5.33,4.81
31/10/2001,4.94,4.51
30/11/2001,5.39,5.05
31/12/2001,5.6,5.06
31/01/2002,5.55,4.88
28/02/2002,5.42,5
29/03/2002,5.92,5.35
30/04/2002,5.56,5.06
31/05/2002,5.41,4.72
28/06/2002,5.27,4.48
31/07/2002,4.96,4.41
30/08/2002,4.69,4.31
30/09/2002,4.29,4.13
31/10/2002,4.39,4.41
29/11/2002,4.6,4.79
31/12/2002,4.06,4.42
31/01/2003,4.16,4.75
28/02/2003,3.86,4.5
31/03/2003,3.94,4.58
30/04/2003,3.83,4.37
30/05/2003,3.33,3.83
30/06/2003,3.56,3.86
31/07/2003,4.48,4.55
29/08/2003,4.47,4.61
30/09/2003,3.95,3.78
31/10/2003,4.25,3.48
28/11/2003,4.32,4.1
31/12/2003,4.15,4.65
30/01/2004,4.07,4.3
27/02/2004,3.89,4
31/03/2004,3.8,4.13
30/04/2004,4.45,4.78
31/05/2004,4.65,5.01
30/06/2004,4.64,5.01
30/07/2004,4.53,5.14
31/08/2004,4.22,4.96
30/09/2004,4.27,5.13
29/10/2004,4.17,5.05
30/11/2004,4.46,5.49
31/12/2004,4.38,4.97
31/01/2005,4.38,5.16
28/02/2005,4.62,5.36
31/03/2005,4.83,5.44
29/04/2005,4.64,5.38
31/05/2005,4.47,5.33
30/06/2005,4.48,5.54
29/07/2005,4.79,5.96
31/08/2005,4.6,5.96
30/09/2005,4.91,6.2
31/10/2005,5.16,6.45
30/11/2005,5.18,6.23
30/12/2005,5.08,5.8
31/01/2006,5.16,5.82
28/02/2006,5.22,5.8
31/03/2006,5.47,6.03
28/04/2006,5.57,6.33
31/05/2006,5.71,6.63
30/06/2006,5.79,6.52
31/07/2006,5.61,6.57
31/08/2006,5.4,6.56
29/09/2006,5.32,6.53
31/10/2006,5.28,6.41
30/11/2006,5.13,6.14
29/12/2006,5.34,6.5
31/01/2007,5.45,6.7
28/02/2007,5.22,6.36
30/03/2007,5.28,6.25
30/04/2007,5.27,6.37
31/05/2007,5.54,6.72
29/06/2007,5.67,6.79
31/07/2007,5.57,6.91
31/08/2007,5.4,6.66
28/09/2007,5.31,6.53
31/10/2007,5.23,6.38
30/11/2007,4.86,6.04
31/12/2007,4.9,5.95
31/01/2008,4.47,5.45
29/02/2008,4.49,5.52
31/03/2008,4.51,5.47
30/04/2008,4.7,5.72
30/05/2008,4.97,5.5
30/06/2008,5.07,5.19
31/07/2008,5.14,5.23
29/08/2008,5.05,4.93
30/09/2008,5.27,5.41
31/10/2008,5.67,6.09
28/11/2008,4.96,5.33
31/12/2008,3.99,4.44
30/01/2009,4.27,4.93
27/02/2009,4.59,5.13
31/03/2009,4.06,4.8
30/04/2009,4.06,4.88
29/05/2009,4.08,4.96
30/06/2009,4.12,4.85
31/07/2009,3.88,4.47
31/08/2009,3.74,4.48
30/09/2009,3.55,4.12
30/10/2009,3.48,4.22
30/11/2009,3.15,4.1
31/12/2009,3.68,4.45
29/01/2010,3.37,4.57
26/02/2010,3.35,4.29
31/03/2010,3.47,4.41
30/04/2010,3.35,4.12
31/05/2010,3.19,3.9
30/06/2010,2.83,3.35
30/07/2010,2.57,3.27
31/08/2010,2.35,2.98
30/09/2010,2.56,3.1
29/10/2010,2.45,3.03
30/11/2010,2.68,3.09
31/12/2010,2.97,3.25
31/01/2011,2.97,3.51
28/02/2011,3.02,3.6
31/03/2011,3.08,3.78
29/04/2011,2.89,3.6
31/05/2011,2.74,3.33
30/06/2011,2.83,3.76
29/07/2011,2.61,3.57
31/08/2011,2.39,3.24
30/09/2011,2.35,3.08
31/10/2011,2.37,2.9
30/11/2011,2.4,2.43
30/12/2011,2.24,2.23
31/01/2012,2.05,2.09
29/02/2012,2.1,2.24
30/03/2012,2.22,2.34
30/04/2012,2.07,2.27
31/05/2012,1.97,2.24
29/06/2012,1.98,2.21
31/07/2012,1.72,2.02
31/08/2012,1.74,2.19
28/09/2012,1.61,2.06
31/10/2012,1.7,2.04
30/11/2012,1.69,1.98
31/12/2012,1.74,2.1
31/01/2013,1.9,2.01
28/02/2013,1.84,1.71
29/03/2013,1.86,1.82
30/04/2013,1.73,1.47
31/05/2013,2.08,1.98
28/06/2013,2.35,2.27
31/07/2013,2.34,2.25
30/08/2013,2.48,2.49
30/09/2013,2.34,2.16
31/10/2013,2.25,1.83
29/11/2013,2.33,2.03
31/12/2013,2.48,2.52
31/01/2014,2.31,2.44
28/02/2014,2.28,2.32
31/03/2014,2.39,2.74
30/04/2014,2.31,2.57
30/05/2014,2.17,2.7
30/06/2014,2.22,2.95
31/07/2014,2.33,3.05
29/08/2014,2.22,3.35
30/09/2014,2.36,3.38
31/10/2014,2.24,3.24
28/11/2014,2.17,3.08
31/12/2014,2.25,3.05
30/01/2015,1.93,3.01
27/02/2015,2.13,3.58
31/03/2015,2.07,3.36
30/04/2015,2.13,3.80
29/05/2015,2.19,3.94
30/06/2015,2.39,4.30
31/07/2015,2.35,4.47
31/08/2015,2.42,4.33
30/09/2015,2.31,4.18
30/10/2015,2.38,4.08
30/11/2015,2.49,4.34
31/12/2015,2.59,4.44
29/01/2016,2.34,4.00
29/02/2016,2.26,3.55
31/03/2016,2.17,3.10
29/04/2016,2.15,3.19
31/05/2016,2.2,3.25
30/06/2016,1.92,3.03
29/07/2016,1.87,3.13
31/08/2016,1.95,3.11
30/09/2016,1.97,2.94
31/10/2016,2.12,3.10
30/11/2016,2.57,3.65
30/12/2016,2.61,3.57
31/01/2017,2.62,3.08
28/02/2017,2.57,2.71
31/03/2017,2.61,2.14
28/04/2017,2.53,1.20
31/05/2017,2.47,1.18
30/06/2017,2.56,0.88
31/07/2017,2.51,1.28
31/08/2017,2.42,0.52
29/09/2017,2.55,-0.27
31/10/2017,2.6,-0.54
30/11/2017,2.71,0.21
29/12/2017,2.72,0.02
31/01/2018,2.97,0.86
28/02/2018,3.15,0.53
30/03/2018,3.12,0.91
30/04/2018,3.29,1.18
31/05/2018,3.22,0.81
29/06/2018,3.29,0.77
31/07/2018,3.36,0.75
31/08/2018,3.3,0.49
28/09/2018,3.46,0.11
31/10/2018,3.59,-0.06
30/11/2018,3.55,0.88
31/12/2018,3.28,1.1
31/01/2019,3.16,0.83
28/02/2019,3.21,0.56
29/03/2019,2.94,0.36
30/04/2019,2.97,-0.16
31/05/2019,2.69,-0.17
28/06/2019,2.5,-0.23
31/07/2019,2.53,0.19
30/08/2019,2.13,-0.04
30/09/2019,2.27,0.33
31/10/2019,2.23,-0.23
30/11/2019,2.3,-0.01
31/12/2019,2.32,-0.33
31/01/2020,2.03,-0.6
29/02/2020,1.69,-0.52
31/03/2020,1.59,-0.4
